Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10165629,1,"Monday, January 31, 2011 09:55:00 UTC",61.5759,-141.2606,2.8,0.00,22,"Southern Alaska"
nc,71522631,3,"Monday, January 31, 2011 09:17:10 UTC",37.4877,-121.8347,2.3,8.90,128,"San Francisco Bay area, California"
nc,71522626,0,"Monday, January 31, 2011 09:08:56 UTC",38.7607,-122.7432,0.5,3.70, 7,"Northern California"
ak,10165614,2,"Monday, January 31, 2011 09:00:19 UTC",63.3058,-149.1808,2.8,81.50,48,"Central Alaska"
hv,60209816,1,"Monday, January 31, 2011 08:32:57 UTC",19.8380,-155.7777,2.5,36.50,29,"Island of Hawaii, Hawaii"
nc,71522616,1,"Monday, January 31, 2011 08:31:19 UTC",37.9817,-122.0412,3.0,15.40,77,"San Francisco Bay area, California"
ak,10165602,1,"Monday, January 31, 2011 08:12:48 UTC",61.9501,-147.5916,2.3,20.10,25,"Southern Alaska"
ne,00001225,a,"Monday, January 31, 2011 08:06:14 UTC",45.0520,-67.1053,2.0,7.30,13,"Maine"
nn,00325490,7,"Monday, January 31, 2011 08:05:11 UTC",39.1957,-119.8659,2.3,13.00,15,"Nevada"
ci,14925388,2,"Monday, January 31, 2011 07:58:10 UTC",33.7153,-116.7682,1.2,16.70,58,"Southern California"
nn,00325489,7,"Monday, January 31, 2011 07:55:33 UTC",39.1999,-119.8577,2.6,12.70,18,"Nevada"
ak,10165593,2,"Monday, January 31, 2011 07:42:22 UTC",52.4375,-169.0179,3.0,12.30,12,"Fox Islands, Aleutian Islands, Alaska"
nc,71522591,0,"Monday, January 31, 2011 07:33:50 UTC",38.8382,-122.8295,1.1,2.10,14,"Northern California"
nc,71522586,1,"Monday, January 31, 2011 07:15:30 UTC",38.8370,-122.8280,2.0,2.60,32,"Northern California"
us,b000170a,6,"Monday, January 31, 2011 07:13:44 UTC",4.0063,-76.3766,4.9,106.90,204,"Colombia"
nc,71522581,2,"Monday, January 31, 2011 07:01:37 UTC",37.5063,-119.3542,1.3,13.60,15,"Central California"
nc,71522576,2,"Monday, January 31, 2011 06:47:15 UTC",40.2938,-124.4090,3.2,17.50,13,"offshore Northern California"
nc,71522571,1,"Monday, January 31, 2011 06:31:51 UTC",36.2858,-120.4478,2.4,9.70,30,"Central California"
nc,71522566,0,"Monday, January 31, 2011 06:26:53 UTC",38.8283,-122.7992,0.9,3.10, 6,"Northern California"
nc,71522561,0,"Monday, January 31, 2011 06:25:33 UTC",38.8153,-122.7990,0.9,2.90,13,"Northern California"
ci,14925364,2,"Monday, January 31, 2011 06:19:29 UTC",34.0240,-116.7390,1.2,18.60,53,"Southern California"
us,b00016zk,B,"Monday, January 31, 2011 06:03:26 UTC",-21.9433,-175.5099,6.0,68.60,450,"Tonga"
nc,71522546,0,"Monday, January 31, 2011 05:55:59 UTC",38.8205,-122.8262,1.1,2.80,19,"Northern California"
ci,14925356,2,"Monday, January 31, 2011 05:25:58 UTC",32.7502,-116.4927,1.3,0.90,13,"Southern California"
ci,14925340,2,"Monday, January 31, 2011 04:38:05 UTC",35.9673,-117.3312,1.3,13.10,12,"Central California"
ak,10165548,1,"Monday, January 31, 2011 04:31:36 UTC",61.3274,-150.9125,2.2,70.20,18,"Southern Alaska"
nc,71522531,2,"Monday, January 31, 2011 04:13:07 UTC",37.4122,-118.5688,0.7,6.00, 7,"Central California"
nc,71522526,2,"Monday, January 31, 2011 04:11:31 UTC",37.3992,-118.5878,1.0,13.10,11,"Central California"
ak,10165544,2,"Monday, January 31, 2011 04:07:47 UTC",62.1916,-145.7106,1.3,15.50,12,"Central Alaska"
pr,11031000,0,"Monday, January 31, 2011 03:55:37 UTC",18.6280,-63.8380,3.4,92.50,12,"Virgin Islands region"
us,b00016za,4,"Monday, January 31, 2011 03:50:28 UTC",13.1446,-89.1703,4.1,58.80,27,"offshore El Salvador"
nc,71522521,0,"Monday, January 31, 2011 03:42:10 UTC",38.8068,-122.8188,1.0,3.50,10,"Northern California"
nc,71522511,0,"Monday, January 31, 2011 03:33:26 UTC",38.8128,-122.8135,0.4,3.00, 8,"Northern California"
nc,71522506,0,"Monday, January 31, 2011 03:32:56 UTC",38.7940,-122.7815,1.1,1.30,14,"Northern California"
nc,71522496,1,"Monday, January 31, 2011 03:32:35 UTC",38.8120,-122.8155,1.5,3.10,24,"Northern California"
nc,71522501,0,"Monday, January 31, 2011 03:31:34 UTC",38.5228,-122.6015,1.9,4.30,12,"Northern California"
ak,10165528,2,"Monday, January 31, 2011 03:25:47 UTC",61.6041,-149.6936,2.8,20.00,56,"Southern Alaska"
nc,71522491,0,"Monday, January 31, 2011 02:58:26 UTC",38.8252,-122.7972,1.1,3.40,15,"Northern California"
nc,71522481,0,"Monday, January 31, 2011 02:22:49 UTC",38.8015,-122.7407,1.2,2.70,15,"Northern California"
